Deity,Temple Name,Moolavar,Urchavar,Amman / Thayar,Thala Virutcham,Theertham,Agamam / Pooja,Old year,Historical Name,City,District,State,Festival,  Temple's Speciality,Opening Time,Address,Phone Number
Perumal,sri Aranganathaswami temple,Aranganathar,Venkatesaperumal,Ranganayaki,Karai tree,"Brahmma, Garuda and Ashta theertham",Pancharathram,1000 2000 years old,Arangavenkatesa Achuthan,Karamadai,Coimbatore,Tamil Nadu,"Brahmmotsavam in Masi (February March), Ramanuja Jayanthi, Vaikunda Ekadasi, Navarathri are the festivals grandly celebrated in the temple.","The idol is differently sculpted in a square stone. Lord Venugopala graces with consorts Rukmini and Sathyabama along with Nammalwar, Sri Ramanujar, Manavalamamunigal, all Vaishnavite Acharyas. There are also shrines for Santhanakrishna, Paravasudeva and Nagar. The idols of Venugopala, Rama and Gopikas are very beautiful.",The temple is open from 5.30 a.m. to 1.00 p.m. and 4.00 p.m. to 9.00 p.m.,"Sri Aranganathaswami Temple, Karamadai  641 104, Coimbatore.","+91  4254   272 318, 273 018."
Perumal,sri Kalyanavaradarajar temple,Kalyanavaradarajar,NA,Vedavalli,Vilwa,Amaravathi teertham,Pancharathra,500 years old,Sankararamanallur,Kozhumam,Coimbatore,Tamil Nadu,"Chithirai New Year day (April), Chitra Full Moon day (April May). Vaikunda Ekadasi in December January, Saturdays in the Month of Purattasi (September October) and Brahmmotsavam in Margazhi (December January) are the festivals grandly celebrated in the temple.","As the place has the reputation of unity among Saivism and Vaishnavism, Vedavalli Thayar is worshiped with Vilwa leaves related to Lord Shiva.",The temple is open from 7.00 a.m. to 12.00 a.m. and 4.00 p.m. to 7.30 p.m,"Sri Kalyanavaradarajar Temple, Kozhumam, Coimbatore.","+91 4252   278 644 , 93451 96814."
sivan,sri Thandeswarar temple,"Thandeswarar, Chozheeswarar",Thandeswarar,Periyanayaki,Vilwa,Aamaravathy,Kamikamam,500 1000 years old,Sankararamanallur,Kozhumam,Coimbatore,Tamil Nadu,"Thiruvadhirai Arudra Darshan in Margazhi (December January), Aani Uthiram (June July), Mahasivarathri in Vaikasi (May June), Full Moon days and Pradosha (13th day from New moon or full moon day) are devotionally celebrated in the temple.","Lord Nataraja – Thandeswarar appears here too with one leg upward as in Chidambaram temple. The idol is 5.5 feet tall. Hence, the shrine is known as Then Chidambaram – Chidambaram of the South. Worsipping Thandeswarar ensures skill in arts. Dakshinamurthy in this temple has only two disciples against the four according the tradition. But four disciples are found doing penance in the sanctum sanctorum wall.",The temple is opened from 7.00 a.m. to 11.00 a.m. and 4.00 p.m. to 8.00 p.m.,"Sri Thandeswarar Temple, Kozhumam, Coimbatore.",+91  4252   278 827.
Other Temples,sri Dattatreyaswami temple,Dattratreyar,NA,Soundaryanayaki,Vilwa,Amaravathi theertham,Kameekam,500 years old,NA,"Pollachi, Kozhumam, Kumaralingam",Coimbatore,Tamil Nadu,"A temple and place without any festival. After the Mahasamadhi of Maharshi, the temple was built to remember him. Hence, Lord Shiva does not wish to have any festival. Even Pradosha pujas and Maha Shivrathri are not observed in this temple. Only Dattatreya Guru Puja is performed in Vaikasi – May June.",This is a temple dedicated exclusively to Maharshi Dattatreya.,The temple is open from 8.30 9.00 a.m. and 4.30 5.00 p.m.,"Sri Dattatreya Swami Temple, Kozhumam, Pollachi, Coimpatore.",+91  4252   278 831
sivan,sri Mokaneeswarar temple,Mokaneeswarar,NA,NA,NA,NA,NA,500 1000 years old,NA,Kulayagoundanpudur,Coimbatore,Tamil Nadu,NA,NA,NA,NA,"+91 4296   270 558, 98652 95559."
Amman,sri Mariamman temple,Mariamman – Kottai Mariamman,NA,NA,NA,NA,NA,500 years old,NA,Kozhumam,Coimbatore,Tamil Nadu,15 day Chitirai (April May) Brahmmotsavam is the festival of the temple.,"Mother Mariamman, 2.5 feet tall, in the form of a Shivalinga is a Swayambumurthy. There is also the stage called Avudayar under the Linga stone. Though there are no features related to Goddess, the deity is regarded as Goddess Mariamman and worshipped as such dressed in sari with pujas.",The temple is open from 7.30 a.m. to 1.00 p.m. and from 3.00 p.m. to 8.00 p.m.,"Sri Mariamman Temple, Kozhumam, Coimbatore district.","+91 4252   278 001, 278 510, 278 814."
Murugan,sri Odhimalai Andavar temple,Odhimalai Andavar,Kalyanasubramaniar,NA,Odhi tree,Sunai theertham,Shivagama,500 1000 years old,Gnanamalai,Irumbarai,Coimbatore,Tamil Nadu,"9 day Brammotsavam in Thaipoosam (January February), Chithirai new year day (April 14 or 15) Vaikasi Visakam (May June) Adi Perukku (August), Skanda Sashi (October November) and Panguni Uthiram (March April) are the festivals celebrated in the temple.","Muruga gave darshan to Bogar with one face. Muruga is known to have six faces, he showed five in Irumbarai and one here. The sand in the place where Bogar performed his Homa is still white. During festival days this is offered as Prasad to devotees.","The temple is open on Mondays, Fridays, Sashti and Kruthika star days from 11.00 a.m. to 6.00 p.m. During the Margazhi month on the Muruga specific days, the temple is open. It is advised that the devotee gets in touch with the temple priest for a visit in odd days and time.","Sri Odhimalai Andavar Temple, Irumbarai 638 459, Coimbatore Dist.","+91 4254   287 418, 98659 70586"
sivan,sri Amanalingeswarar temple,"Lords Brahmma, Vishnu, Shiva, Revered as Mummoorthis",for all Mummurthys,NA,Arasa tree (Peepal tree),Thoni river,NA,1000 2000 years old,NA,"Dhali, Udumalpet",Coimbatore,Tamil Nadu,"Four pujas are performed on Mahashivarathri day in February March. The devotee crowd is usually huge on Aadi new moon day (Aadi Amavasya in July August), Thai new moon day Thai Amavasya  in January February, Mahalaya Amavasay new moon day in Purattasi in September October. Special pujas on Sundays at 12.30 p.m. and special pujas in Aavani Sundays in August September and annual abishek days in August are the festive days in the temple.",This is a cave temple on a small hill. All the Lords grace as Swayambumurthis.,The temple is open from 6.30 a.m. to 6.30 p.m continuously.,"Sri Amanalingeswarar Temple, Dhali, Tirumurthimalai, Udumalpet, Coimbatore district.",+91 4252   265 440
Other Temples,sri Pattinathar temple,Pattinathar,NA,NA,Vilwa,Bay of Bengal,NA,500 years old,NA,Tiruvottriyur,Chennai,Tamil Nadu,Guru Puja is devotionally celebrated on the Uthiradam star day following the full moon day in the month of Aadi – July August.,Saint Pattinathar attained salvation in this place.,The temple is open from 6.30 a.m. to 12.00 a.m. and 4.00 p.m. to 8.00 p.m.,"Sri Pattinathar Temple, Tiruvottriyur, Chennai – 600 019.",+91  98402 84456
Murugan,sri Swaminatha Balamurugan temple,Swaminatha Balamurugan,Balamurugan,NA,Vanni,NA,NA,500 years old,NA,Mettukuppam,Tiruvallur,Tamil Nadu,"Vaikasi Visakam in February March, Aadi Kruthikai in July August, Aipasi Skanda Sashti in October November, Sri Anjaneya Jayanthi, Thai Poosam in January February, Panguni Uthiram and Sri Rama Navami in March April are the festivals celebrated in the temple.",Lord Muruga has a mole on His cheek.,The temple is open from 7.00 a.m. to 12.00 a.m. and from 4.30 p.m. to 8.00 p.m.,"Sri Swaminatha Balamurugan Temple, Mettukuppam, Vanakaram, Tiruvallur district.",+91  94444 04201.
Amman,sri Araikasu Amman temple,Araikasu Amman,NA,NA,Vilwa,NA,NA,500 years old,NA,Ratnamangalam,Chennai,Tamil Nadu,Annual abishek festival in Aadi (July August) and Purattasi Navarathri in September October are the festivals celebrated in the temple.,Mother helps the devotee recover what he/she lost.,The temple is open from 5.30 a.m. to 12.00 a.m. and from 4.00 p.m. to 8.30 p.m.,"Sri Araikasu Amman Temple, Ratnamangalam, Vandalur, Chennai – 600 048.","+9144 2431 4572, 94440 20084."
Perumal,sri Soumya Damodara Perumal temple,Soumya Damodara Perumal,NA,Amirthavalli,NA,Amirtha Pushkarini,Vaikanasam,500 years old,Vilwaranyam,Villivakkam,Chennai,Tamil Nadu,"Vaikasi Brahmmotsavam in February March,Gokhulastami in August September, Navarathri in September October, Masi Magam float festival in February March and wedding festival in Panguni Uthiram are the festivals of the temple.",Devotees see the Lord only as Child Kannan. The rope scar is visible both on the presiding and procession deities.,The temple is open from 6.00 a.m. to 11.30 a.m. and from 5.00 p.m. to 9.00 p.m.,"The Executive Officer, Sri Soumya Damodara Perumal Temple, Konnur, Villivakkam, Chennai – 600 049.","+91  44   2617 3306, 2617 0456, 94448 07899."
sivan,sri Ravieaswarar temple,Ravieaswarar,Somaskandar,Maragadambal,Vanni,Surya theertham,Kameekam,500 years old,Banumapuri Pattanam,Vyasarpadi,Chennai,Tamil Nadu,"Aani Brahmmotsavam in June July, Aipasi Skanda Sashti in October November, Makara Sankaranthi falling almost on January 14 or a day before or after occasionally in some years, Masi Magam in February March and Panguni Uthiram in March April are the festivals of the temple.","The Indira Vimanam above the Shiva shrine is constructed as a nest without any support. This is visible if one stands close to the shrine and look at the vimana. Lord Shiva is facing east. There is no entrance to this shrine. The devotee has to come through the entrance in the south. On the wall against the Shiva shrine there is a hole designed as a Shiva Linga. Sri Nandi is in front of the shrine. The rays of Sun fall on the presiding deity through the Shiva Linga hole as if Sun God performs the first puja to Lord Shiva. Only then other morning puja – Kala Sandhi Puja  is performed. Sun God graces from the front mandap of the temple. Special pujas are performed to both Lord Shiva and Sun on Sundays, the first day of Dakshinayana and Uthrayana Punyakala days and on Makara Sankaranthi and Ratha Sapthami the seventh day of Sankranthi when the rath of Sun actually turns towards north. Those facing any adverse effects due to Sun planet perform special pujas to Lord Shiva and Sun.",The temple is open from 6.00 a.m. to 12.00 a.m. and from 4.00 p.m. to 9.00 p.m.,"Sri Ravieaswarar Temple, Vysarpadi, Chennai. Sri S. Sivakumar Shivachariar, 56, Murthinga Iyer Street, Vyasarpadi,Chennai – 600 039.","+91 44 2551 8049, 99418 60986."
274 Sivalayam,sri Patanjaleeswarar temple,Patanjaleeswarar,Somaskandar,Kola Valai Kai Ambicai Ambica with beautiful bangles in hands,Erukku,Surya Pushkarini,Shivagama,1000 2000 years old,Tirukanattumullur,Kanattampuliyur,Cuddalore,Tamil Nadu,"Shivarathri in February March, Tirukarthikai in November December, Aipasi Annabishekam in October November and Tiruvadhirai in December Janary are the festivals celebrated in the temple.","Mother Kola Valai Kai Ambica, also praised as Ambjakshi and Kanarkuzhali is facing east. Saivite Saint Sundarar mentions Mother also in his hymns. Sani Bhagwan Saturn graces from a shrine right to Ambica’s prayed by those facing his adverse effects.",The temple is open from 6.00 a.m. to 11.00 a.m and from 5.00 p.m. to 7.00 p.m. Those visiting the temple during other hours may contact the priest.,"Sri Patanjaleeswarar temple, Kanattampuliyur – 608 306, Muttam Post, Cuddalore district.","+91& 4144 & 208 508, 208091, 93457 78863."
Perumal,sri Srinivasa Anjaneya Perumal temple,Srinivasar,Varadaraja Perumal,NA,NA,Sanjeevi theertham,Pancharathram,500 years old,NA,Udumalpet,Coimbatore,Tamil Nadu,"Chitra Poornima in April May, Hanuman Jayanthi, Vijayadasami in September October and Vaikunda Ekadasi in December January are the festivals of the temple.","2.5 feet tall presiding deity is young in appearance in a standing form. Sri Anjaneya is near the Lord in a worshipping form. Though Sri Anjaneya has a separate shrine in Vishnu temples, He is with Lord Himself in the sanctum sanctorum itself in this temple.",The temple is open from 6.00 a.m. to 10.00 a.m. and from 6.00 p.m. to 8.00 p.m.,"Sri Anjaneya Srinivasar Temple, Udumalpet, Coimbatore district.",+91  4252   224 755.
sivan,sri Virundeeswarar temple,Virundeeswarar,NA,NA,Drumstick tree – Murungai,NA,NA,500 1000 years old,NA,Vadamadhurai,Coimbatore,Tamil Nadu,"Margazhi Arudra darshan in December January, Thai Poosam in January February, Shivrathri in February March and Panguni Uthiram in March April are the festivals celebrated in the temple.","Lord Shiva is a Swayambumurthi in the temple. Drumstick is the sacred tree. While we see Lord Nataraja dancing with his long hair flying wide, the Lord dances here with His hair well dressed. He also granted all powers to His vehicle Nandhi in this temple. Following this sanction, other temples began the Adhikara Nandhi practice later. Adhikaram in Tamil means power.",The temple is open from 7.00 a.m. to 1.00 p.m. and from 4.00 p.m. to 8.00 p.m.,"Sri Virundeeswarar Temple, Tudialur, Coimbatore.",+91  94428 44884 .
Amman,sri Thillai Kali temple,Brahmma Chamundeeswari,NA,NA,NA,NA,NA,1000 2000 years old,NA,Chidambaram,Cuddalore,Tamil Nadu,Purattasi Navarathri in September October is grandly and devotionally celebrated in the temple.,"Mother Thillai Kali appears with four faces as Lord Brahmma. Mother Saraswathi as Veena Vidyambika and Lord Dakshinamurthi in female form praised as Kadambavana Dakshina Rupini grace the devotees from their shrines in the prakara. Devotees pray her lighting lamps on Thursdays seeking high education and academic achievements. Probably, this is the only temple where Lord Dakshinamurthi appears in a female form.",The temple is open from 6.30 a.m. to 12.00 a.m. and 4.30 p.m. to 8.30 p.m.,"Sri Thillai Kali Temple, Chidambaram, Cuddalore district.",+91  4144   230 251
sivan,sri Peria Avudayar temple,Peria Avudayar – Pragadeeswarar,"Natarajar, Sivakami, Pradosha Thandavar",NA,Kadampa Tree,Shanmuga River,NA,500 years old,NA,Manur,Dindigul,Tamil Nadu,"Aadi Perukku the 18th day of the Tamil Month Aadi (July August) is very important festival as married women believe that Mother Peria Nayaki visits them. They change their Mangal Sutra threads this day. Also Aadi Amavasaya (new moon day) in the same month, Maha Shivrathri in February March, Tamil New Year day, Jeshtabishek in Aani June July, Karthikai annual abhishek in November December,Abisheks with conches, Margazhi pujas in December January, New Moon day in Thai month (January February), Aipasi Annabishekam in October November and all monthly Pradosha days (13th day of new moon and full moon days) are the festivals celebrated in the temple.",The significance of the temple is that it is facing west and that the stage of Lord is square in shape against the traditional round.,The temple is open from 8.00 a.m. to 6.00 p.m. for the convenience of the devotees.,"Sri Periavudayar temple, Manur, Dindigul district.",+91  4545   242 551.
274 Sivalayam,sri Magudeswarar temple,Magudeswarar,NA,"Tirupurasundari, Madurabashini",Vanni,"Deva theertham, Brahmma theertham",Shivagama,2000 3000 years old,Tirupandikodumudi,Kodumudi,Erode,Tamil Nadu,"11 day Chithirai Tirunal festival in April May is the main festival of the temple. Devotee crowd will be huge on the Aadi Perukku day in July August. Special Pujas are performed in the temple on new moon, full moon days and on Pradosha days 13th day of new moon or full moon days, a day of great importance for Lord Shiva worship.","Historians are not able to estimate the age of the Vanni tree of the temple. It is too ancient. If a leaf of the tree is put in a pot of water, the purity lasts for years. Those carrying Theertha Kavadi –Water Pots to Palani for Panguni Uthiram (March April) festival place this leaf in the water pots.",The temple is open from 6.00 a.m. 12.00 a.m. and from 4.00 p.m. to 9.00 p.m.,"Sri Magudeswarar Temple, Tirupandikodumudi, Kodumudi, Erode district.",+91  4204 222 375.
